id,texto,aspect,polarity,start_position,end_position,aspecto_llm,polaridade_llm
50,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",cama,1,63,67,localização,1
51,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",localização,1,2,13,localização,1
52,"A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",limpeza,1,23,30,localização,1
78,"A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!",carpete,-1,647,654,enganacão,-1
79,"A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!",colchão,-1,623,630,enganacão,-1
80,"A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!",travesseiro,-1,632,643,enganacão,-1
81,"A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!",quarto,0,512,518,enganacão,-1
82,"A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.",hotel,1,348,353,localizacao,1
83,"A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.",cafeteira,1,218,227,localização,1
84,"A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.",cama,1,299,303,localização,1
85,"A melhor parte eh a localizacao! Perto de metro, da Times Square, da Broadway, de restaurantes... Como a maioria dos hoteis de NY, esse nao foge a regra: O cafe da manha nao estah incluido. Mas como todos, existe uma cafeteira no quarto. Com cafe do tipo americano. Mas dah para descansar bem nas camas, confortaveis. Um detalhe interessante: O hotel fica espremido entre dois predios. Se bobear, passa despercebido. Entre os pros e os contras: Valeu muito a pena.",quarto,1,231,237,localizacao,1
102,"A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.",hotel,-1,98,103,relação qualidade/preço,-1
103,"A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.",elevador,-1,142,150,relação qualidade/preço,-1
104,"A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.",escada,-1,133,139,relação qualidade/preço,-1
105,"A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.",quarto,-1,40,46,relação qualidade/preço,-1
106,"A relação qualidade/preço é péssima. Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador). Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.",recepção,-1,180,188,relação qualidade/preço,-1
132,A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!,hotel,0,39,44,vizinhança,-1
133,A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!,cama,-1,76,80,vizinhança,-1
134,A vizinhança é esquisita e o quarto do hotel é muito pequeno. O cobertor da cama cheirava a urina e o banheiro também fedia. Os empregados do hotel são extremamente mal-educados e grossieros. Não recomendo de maneira alguma!,quarto,-1,29,35,vizinhança,-1
136,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",atendimento,1,270,281,hotel,1
137,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",hotel,1,54,59,perfeito,1
138,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",internet,1,119,127,perfeito,1
139,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",tv,1,301,303,perfeito,1
140,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",elevador,1,338,346,perfeito,1
141,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",localização,1,74,85,perfeito,1
142,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",quarto,1,193,199,perfeito,1
143,"Acabo de chegar de New York e tudo esteve perfeito. O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos. Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY. Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.",café da manhã,1,221,234,hotel,1
155,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",hotel,1,26,31,localização,1
156,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",localização,1,11,22,localização,1
157,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",café da manhã,1,187,200,localização,1
158,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",limpeza,-1,323,330,localização,1
159,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",serviço,0,147,154,localização,1
160,"Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais? Seus atendentes e serviços são bem básicos e objetivos. O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.",serviço de quarto,-1,297,314,localização,1
191,"Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.",hotel,1,434,439,estadia,1
192,"Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.",cama,0,341,345,estadia,1
193,"Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.",preço,1,157,162,estadia,1
194,"Adorei minha estadia no Sheraton New York. Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores. Os quartos eram limpos e novos, porém um pouco pequenos. Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente. Se volta à NY, definitivamente pretendo ficar novamente no hotel.",quarto,1,225,231,estadia,1
211,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.",atendimento,1,80,91,localização,1
212,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.",hotel,1,115,120,localização,1
213,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.",localização,1,18,29,localização,1
214,"Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente. Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema. Hotel confortável, decoração bonita e um serviço muito bom. Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão. Recomendo.",recepção,1,217,225,localização,1
233,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",hotel,1,13,18,recepção,1
234,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",lojas,1,365,370,recepção,1
235,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",localização,1,227,238,recepção,1
236,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",quarto,1,122,128,recepção,1
237,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",café da manhã,1,204,217,recepção,1
238,"Ao chegar ao Hotel, a recepção foi excelente. O funcionário falava português e nos deu todas as dicas que precisavamos. O quarto, pequeno mas aconchegante, moderno e funcional, é bom, limpo e asseado. O café da manhã é bom, a localização excelente, ao lado da Sourbonne, no Boulevard Saint Michel, a 200 m do Boulevard Saint Germain, perto de restaurantes, bares, lojas. Voltarei lá, com certeza. Room Tip: Fica numa rua lateral. Aparentemente todos os quartos são bons.",recepção,1,22,30,recepção,1
250,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",cidade,1,159,165,localização,-1
251,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",localização,-1,14,25,localização,-1
253,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",quarto,1,197,203,localização,-1
254,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",limpeza,1,270,277,localização,-1
255,"Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar. Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio. O quarto, apesar de pequeno, muito confortável e bonito! Com um serviço de limpeza impecável, foi uma estadia bem agradável. Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.",serviço,1,259,266,localização,-1
259,"Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.",hotel,-1,472,477,localização,1
260,"Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.",funcionários,-1,314,326,localização,1
261,"Apesar de boa localização, um dos piores hotéis que já fiquei. Perde todo o padrão Ibis. Os elevadores já são pequenos, quartos também. Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo. A limpeza é falha. Quartos mal limpos, funcionários cheirando muito mal e também mal-educados. Dentre as grosserias, um recepcionista reclamando do horário do check-out. Impossível de recomendar o hotel para um amigo.",horário,-1,423,430,localização,1
